TIME,SPEED,DISTANCE,LATITUDE,LONGITUDE
24-feb-2011 05.34.37 am,0,0.33316192,13.098159,80.16945
24-feb-2011 05.51.08 am,0,0,13.098235,80.16942
24-feb-2011 05.51.20 am,0,0,13.09823,80.169426
24-feb-2011 05.51.30 am,0,0,13.09823,80.169426
24-feb-2011 05.51.40 am,0,0,13.098227,80.16942
24-feb-2011 05.51.50 am,0,0,13.098214,80.1694
24-feb-2011 05.52.00 am,0,0,13.098199,80.16938
24-feb-2011 05.52.10 am,0,0,13.09819,80.169365
24-feb-2011 05.52.11 am,0,0,13.09819,80.169365
24-feb-2011 05.52.20 am,0,0,13.098202,80.16937
24-feb-2011 05.52.31 am,0,0,13.098211,80.16937
24-feb-2011 05.52.41 am,0,0,13.09822,80.16938
24-feb-2011 05.52.51 am,0,0,13.098227,80.16939
24-feb-2011 05.53.01 am,0,0,13.098234,80.169395
24-feb-2011 05.53.11 am,0,0,13.09824,80.169395
24-feb-2011 05.53.22 am,0,0,13.098247,80.169395
24-feb-2011 05.53.32 am,0,0,13.098251,80.169365
24-feb-2011 05.53.42 am,0,0,13.098252,80.16936
24-feb-2011 05.53.52 am,0,0,13.098252,80.16936
24-feb-2011 05.54.02 am,0,0,13.098253,80.16936
24-feb-2011 05.54.12 am,0,0,13.098258,80.16936
24-feb-2011 05.54.22 am,1,0,13.098258,80.16936
24-feb-2011 05.54.32 am,0,0,13.098256,80.16936
24-feb-2011 05.54.43 am,0,0,13.098255,80.16935
24-feb-2011 05.54.53 am,0,0,13.098251,80.16934
24-feb-2011 05.55.03 am,0,0,13.098246,80.16934
24-feb-2011 05.55.13 am,0,0,13.098235,80.16935
24-feb-2011 05.55.23 am,0,0,13.098223,80.169334
24-feb-2011 05.55.33 am,0,0,13.098195,80.16935
24-feb-2011 05.55.43 am,1,0,13.098222,80.16934
24-feb-2011 05.55.53 am,2,0,13.098282,80.16932
24-feb-2011 05.56.04 am,1,0,13.098321,80.16933
24-feb-2011 05.56.14 am,1,0,13.0983715,80.16932
24-feb-2011 05.56.24 am,1,0,13.09841,80.169304
24-feb-2011 05.56.34 am,0,0,13.098415,80.169304
24-feb-2011 05.56.44 am,0,0,13.098398,80.16932
24-feb-2011 05.56.54 am,1,0,13.098415,80.16933
24-feb-2011 05.57.04 am,0,0,13.098399,80.16932
24-feb-2011 05.57.14 am,0,0,13.098387,80.16932
24-feb-2011 06.02.26 am,0,0,13.098108,80.169304
24-feb-2011 06.02.37 am,0,0,13.098125,80.16928
24-feb-2011 06.02.47 am,0,0,13.0981455,80.16926
24-feb-2011 06.02.57 am,0,0,13.098164,80.16926
24-feb-2011 06.03.07 am,0,0,13.098176,80.16926
24-feb-2011 06.03.18 am,0,0,13.098185,80.169266
24-feb-2011 06.03.28 am,0,0,13.098193,80.16926
24-feb-2011 06.03.29 am,0,0,13.098194,80.16926
24-feb-2011 06.03.39 am,0,0,13.098195,80.16925
24-feb-2011 06.03.49 am,0,0,13.098195,80.16924
24-feb-2011 06.03.59 am,0,0,13.098201,80.169235
24-feb-2011 06.04.09 am,0,0,13.098209,80.16923
24-feb-2011 06.04.19 am,0,0,13.09821,80.16923
