TIME,SPEED,DISTANCE,LATITUDE,LONGITUDE
24-feb-2011 06.21.10 am,7,0.09213997,13.026528,80.26553
24-feb-2011 06.21.19 am,2,0.014196902,13.026438,80.26543
24-feb-2011 06.21.26 am,3,0.000749877,13.026426,80.2654
24-feb-2011 06.21.30 am,2,0.002504472,13.0264015,80.26542
24-feb-2011 06.21.31 am,3,0.000515823,13.0264,80.26542
24-feb-2011 06.21.36 am,1,0.006934516,13.026352,80.26547
24-feb-2011 06.21.38 am,6,0.003437305,13.026335,80.2655
24-feb-2011 06.21.48 am,12,0.028479116,13.026294,80.26578
24-feb-2011 06.21.58 am,15,0.044332076,13.026091,80.26616
24-feb-2011 06.22.08 am,12,0.04713017,13.025869,80.26656
24-feb-2011 06.22.18 am,18,0.036201127,13.025664,80.266846
24-feb-2011 06.22.28 am,16,0.0538465,13.025359,80.26726
24-feb-2011 06.22.39 am,19,0.059930302,13.025049,80.267746
24-feb-2011 06.22.48 am,24,0.057152323,13.025043,80.2683
24-feb-2011 06.22.59 am,24,0.057578947,13.025083,80.26888
24-feb-2011 06.23.09 am,21,0.064595744,13.025164,80.26952
24-feb-2011 06.23.19 am,16,0.041,13.025176,80.269936
24-feb-2011 06.23.29 am,22,0.053,13.025085,80.27046
24-feb-2011 06.23.39 am,21,0.061,13.024955,80.27106
24-feb-2011 06.23.49 am,29,0.069,13.024786,80.27172
24-feb-2011 06.24.00 am,33,0.086,13.024373,80.27244
24-feb-2011 06.24.10 am,34,0.091,13.024121,80.27329
24-feb-2011 06.24.20 am,9,0.052,13.024021,80.2738
24-feb-2011 06.24.30 am,16,0.031,13.024156,80.27407
24-feb-2011 06.24.41 am,30,0.067,13.024581,80.27454
24-feb-2011 06.24.51 am,32,0.09,13.025323,80.2749
24-feb-2011 06.25.01 am,29,0.085,13.0260315,80.2752
24-feb-2011 06.25.11 am,29,0.094,13.026814,80.27557
24-feb-2011 06.25.21 am,26,0.084,13.027511,80.27589
24-feb-2011 06.25.32 am,28,0.082,13.028199,80.27619
24-feb-2011 06.25.42 am,26,0.074,13.028833,80.27641
24-feb-2011 06.25.52 am,28,0.082,13.029542,80.27663
24-feb-2011 06.26.02 am,31,0.08,13.030238,80.27683
24-feb-2011 06.26.13 am,32,0.081,13.030883,80.27721
24-feb-2011 06.26.23 am,25,0.082,13.031535,80.27756
24-feb-2011 06.26.34 am,29,0.095,13.03239,80.277596
24-feb-2011 06.26.44 am,28,0.096,13.03325,80.27749
24-feb-2011 06.26.54 am,28,0.072,13.03388,80.277374
24-feb-2011 06.27.04 am,36,0.101,13.034772,80.27757
24-feb-2011 06.27.15 am,34,0.097,13.035632,80.27771
24-feb-2011 06.27.25 am,36,0.102,13.03653,80.27789
